"WOY";"pop";"Covid_caused";"Covid_attributed";"Covid_related";"AllCause_observed";"AllCause_fitted";"AllCause_PImin";"AllCause_PImax";"AllCause_diff";"AllCause_diff_min";"AllCause_diff_max";"AllCause_excess";"AllCause_excess_max";"AllCause_excess_min"
"1";"1907700";"0";"0";"0";"619";"559";"508";"610";"60";"9";"111";"60";"111";"9"
"2";"1907375";"0";"0";"0";"560";"555";"507";"604";"5";"-44";"53";"5";"53";"0"
"3";"1907050";"0";"0";"0";"531";"550";"503";"599";"-19";"-68";"28";"0";"28";"0"
"4";"1906725";"0";"0";"0";"551";"545";"497";"593";"6";"-42";"54";"6";"54";"0"
"5";"1906400";"0";"0";"0";"547";"542";"493";"591";"5";"-44";"54";"5";"54";"0"
"6";"1906150";"0";"0";"0";"522";"540";"493";"589";"-18";"-67";"29";"0";"29";"0"
"7";"1905900";"0";"0";"0";"549";"542";"495";"591";"7";"-42";"54";"7";"54";"0"
"8";"1905650";"0";"0";"0";"553";"544";"498";"593";"9";"-40";"55";"9";"55";"0"
"9";"1905400";"0";"0";"0";"476";"545";"498";"593";"-69";"-117";"-22";"0";"0";"0"
"10";"1905100";"0";"0";"0";"534";"543";"496";"591";"-9";"-57";"38";"0";"38";"0"
"11";"1904800";"0";"0";"0";"539";"539";"491";"587";"0";"-48";"48";"0";"48";"0"
"12";"1904500";"0";"0";"0";"554";"534";"487";"581";"20";"-27";"67";"20";"67";"0"
"13";"1904200";"0";"0";"0";"531";"527";"479";"575";"4";"-44";"52";"4";"52";"0"
"14";"1903980";"2";"0";"2";"564";"518";"472";"565";"46";"-1";"92";"46";"92";"0"
"15";"1903760";"2";"1";"3";"538";"507";"462";"554";"31";"-16";"76";"31";"76";"0"
"16";"1903540";"2";"1";"3";"530";"495";"450";"542";"35";"-12";"80";"35";"80";"0"
"17";"1903320";"2";"2";"4";"531";"485";"439";"531";"46";"0";"92";"46";"92";"0"
"18";"1903100";"2";"1";"3";"519";"477";"431";"524";"42";"-5";"88";"42";"88";"0"
"19";"1902825";"0";"0";"0";"454";"471";"428";"516";"-17";"-62";"26";"0";"26";"0"
"20";"1902550";"1";"1";"2";"587";"466";"422";"512";"121";"75";"165";"121";"165";"75"
"21";"1902275";"1";"1";"2";"529";"461";"417";"506";"68";"23";"112";"68";"112";"23"
"22";"1902000";"0";"1";"1";"498";"456";"413";"500";"42";"-2";"85";"42";"85";"0"
"23";"1901700";"1";"0";"1";"502";"451";"408";"496";"51";"6";"94";"51";"94";"6"
"24";"1901400";"1";"2";"3";"495";"449";"405";"494";"46";"1";"90";"46";"90";"1"
"25";"1901100";"0";"0";"0";"520";"449";"407";"494";"71";"26";"113";"71";"113";"26"
"26";"1900800";"0";"0";"0";"567";"450";"407";"494";"117";"73";"160";"117";"160";"73"
"27";"1900640";"0";"0";"0";"509";"451";"408";"496";"58";"13";"101";"58";"101";"13"
"28";"1900480";"0";"1";"1";"472";"451";"408";"497";"21";"-25";"64";"21";"64";"0"
"29";"1900320";"0";"0";"0";"524";"449";"407";"494";"75";"30";"117";"75";"117";"30"
"30";"1900160";"0";"0";"0";"497";"445";"402";"488";"52";"9";"95";"52";"95";"9"
"31";"1900000";"1";"0";"1";"450";"440";"397";"484";"10";"-34";"53";"10";"53";"0"
"32";"1899800";"0";"0";"0";"520";"435";"393";"479";"85";"41";"127";"85";"127";"41"
"33";"1899600";"0";"1";"1";"520";"433";"390";"476";"87";"44";"130";"87";"130";"44"
"34";"1899400";"0";"0";"0";"512";"432";"390";"476";"80";"36";"122";"80";"122";"36"
"35";"1899200";"1";"0";"1";"467";"434";"391";"478";"33";"-11";"76";"33";"76";"0"
"36";"1899040";"1";"0";"1";"472";"438";"395";"481";"34";"-9";"77";"34";"77";"0"
"37";"1898880";"0";"0";"0";"506";"445";"402";"488";"61";"18";"104";"61";"104";"18"
"38";"1898720";"1";"0";"1";"468";"453";"410";"498";"15";"-30";"58";"15";"58";"0"
"39";"1898560";"0";"1";"1";"545";"462";"417";"507";"83";"38";"128";"83";"128";"38"
"40";"1898400";"2";"0";"2";"516";"468";"423";"514";"48";"2";"93";"48";"93";"2"
"41";"1898075";"1";"0";"1";"514";"471";"426";"517";"43";"-3";"88";"43";"88";"0"
"42";"1897750";"6";"0";"6";"561";"472";"428";"517";"89";"44";"133";"89";"133";"44"
"43";"1897425";"9";"6";"15";"565";"471";"427";"517";"94";"48";"138";"94";"138";"48"
"44";"1897100";"13";"8";"21";"546";"471";"427";"516";"75";"30";"119";"75";"119";"30"
"45";"1896825";"9";"6";"15";"560";"471";"426";"516";"89";"44";"134";"89";"134";"44"
"46";"1896550";"28";"11";"39";"570";"473";"430";"518";"97";"52";"140";"97";"140";"52"
"47";"1896275";"40";"12";"52";"600";"477";"433";"523";"123";"77";"167";"123";"167";"77"
"48";"1896000";"48";"20";"68";"626";"483";"436";"530";"143";"96";"190";"143";"190";"96"
"49";"1895725";"79";"28";"107";"670";"491";"444";"537";"179";"133";"226";"179";"226";"133"
"50";"1895450";"112";"41";"153";"738";"500";"454";"549";"238";"189";"284";"238";"284";"189"
"51";"1895175";"139";"35";"174";"735";"510";"463";"558";"225";"177";"272";"225";"272";"177"
"52";"1894900";"158";"42";"200";"794";"519";"471";"570";"275";"224";"323";"275";"323";"224"
