"WOY";"CLRd_observed";"CLRd_fitted";"CLRd_PImin";"CLRd_PImax";"CLRd_diff";"CLRd_diff_PImin";"CLRd_diff_PImax";"CLRd_excess";"CLRd_excess_max";"CLRd_excess_min"
"1";"7";"6";"2";"12";"1";"-5";"5";"1";"5";"0"
"2";"3";"6";"2";"12";"-3";"-9";"1";"0";"1";"0"
"3";"5";"6";"2";"12";"-1";"-7";"3";"0";"3";"0"
"4";"9";"6";"2";"12";"3";"-3";"7";"3";"7";"0"
"5";"9";"6";"2";"12";"3";"-3";"7";"3";"7";"0"
"6";"8";"6";"2";"12";"2";"-4";"6";"2";"6";"0"
"7";"4";"6";"2";"12";"-2";"-8";"2";"0";"2";"0"
"8";"5";"6";"2";"12";"-1";"-7";"3";"0";"3";"0"
"9";"2";"6";"2";"12";"-4";"-10";"0";"0";"0";"0"
"10";"11";"6";"2";"12";"5";"-1";"9";"5";"9";"0"
"11";"10";"6";"2";"12";"4";"-2";"8";"4";"8";"0"
"12";"3";"6";"2";"12";"-3";"-9";"1";"0";"1";"0"
"13";"5";"6";"2";"12";"-1";"-7";"3";"0";"3";"0"
"14";"10";"6";"2";"12";"4";"-2";"8";"4";"8";"0"
"15";"3";"6";"1";"11";"-3";"-8";"2";"0";"2";"0"
"16";"5";"6";"1";"11";"-1";"-6";"4";"0";"4";"0"
"17";"8";"6";"1";"11";"2";"-3";"7";"2";"7";"0"
"18";"6";"5";"1";"11";"1";"-5";"5";"1";"5";"0"
"19";"3";"5";"1";"10";"-2";"-7";"2";"0";"2";"0"
"20";"3";"5";"1";"10";"-2";"-7";"2";"0";"2";"0"
"21";"2";"5";"1";"10";"-3";"-8";"1";"0";"1";"0"
"22";"6";"5";"1";"10";"1";"-4";"5";"1";"5";"0"
"23";"2";"4";"1";"9";"-2";"-7";"1";"0";"1";"0"
"24";"5";"4";"1";"9";"1";"-4";"4";"1";"4";"0"
"25";"5";"4";"1";"9";"1";"-4";"4";"1";"4";"0"
"26";"3";"4";"1";"9";"-1";"-6";"2";"0";"2";"0"
"27";"3";"4";"1";"9";"-1";"-6";"2";"0";"2";"0"
"28";"5";"4";"1";"8";"1";"-3";"4";"1";"4";"0"
"29";"9";"4";"1";"8";"5";"1";"8";"5";"8";"1"
"30";"4";"4";"1";"8";"0";"-4";"3";"0";"3";"0"
"31";"5";"4";"1";"8";"1";"-3";"4";"1";"4";"0"
"32";"8";"4";"1";"8";"4";"0";"7";"4";"7";"0"
"33";"4";"4";"1";"8";"0";"-4";"3";"0";"3";"0"
"34";"9";"4";"1";"9";"5";"0";"8";"5";"8";"0"
"35";"2";"4";"1";"9";"-2";"-7";"1";"0";"1";"0"
"36";"6";"4";"1";"9";"2";"-3";"5";"2";"5";"0"
"37";"7";"4";"1";"9";"3";"-2";"6";"3";"6";"0"
"38";"1";"4";"1";"9";"-3";"-8";"0";"0";"0";"0"
"39";"4";"4";"1";"9";"0";"-5";"3";"0";"3";"0"
"40";"4";"4";"1";"9";"0";"-5";"3";"0";"3";"0"
"41";"11";"4";"1";"9";"7";"2";"10";"7";"10";"2"
"42";"2";"5";"1";"9";"-3";"-7";"1";"0";"1";"0"
"43";"6";"5";"1";"10";"1";"-4";"5";"1";"5";"0"
"44";"5";"5";"1";"10";"0";"-5";"4";"0";"4";"0"
"45";"4";"5";"1";"10";"-1";"-6";"3";"0";"3";"0"
"46";"5";"5";"1";"10";"0";"-5";"4";"0";"4";"0"
"47";"3";"5";"1";"10";"-2";"-7";"2";"0";"2";"0"
"48";"8";"5";"1";"10";"3";"-2";"7";"3";"7";"0"
"49";"7";"5";"1";"9";"2";"-2";"6";"2";"6";"0"
"50";"3";"5";"1";"9";"-2";"-6";"2";"0";"2";"0"
"51";"2";"5";"1";"10";"-3";"-8";"1";"0";"1";"0"
"52";"6";"5";"1";"10";"1";"-4";"5";"1";"5";"0"
