"WOY";"Circulatory_observed";"Circulatory_fitted";"Circulatory_PImin";"Circulatory_PImax";"Circulatory_diff";"Circulatory_diff_PImin";"Circulatory_diff_PImax";"Circulatory_excess";"Circulatory_excess_PImin";"Circulatory_excess_PImax"
"1";"306";"276";"241";"311";"30";"-5";"65";"30";"0";"65"
"2";"271";"273";"240";"308";"-2";"-37";"31";"0";"0";"31"
"3";"264";"270";"238";"305";"-6";"-41";"26";"0";"0";"26"
"4";"262";"267";"234";"302";"-5";"-40";"28";"0";"0";"28"
"5";"283";"265";"233";"299";"18";"-16";"50";"18";"0";"50"
"6";"251";"264";"230";"297";"-13";"-46";"21";"0";"0";"21"
"7";"276";"263";"230";"297";"13";"-21";"46";"13";"0";"46"
"8";"260";"263";"231";"297";"-3";"-37";"29";"0";"0";"29"
"9";"206";"263";"231";"296";"-57";"-90";"-25";"0";"0";"0"
"10";"259";"263";"230";"295";"-4";"-36";"29";"0";"0";"29"
"11";"275";"261";"229";"295";"14";"-20";"46";"14";"0";"46"
"12";"262";"259";"226";"292";"3";"-30";"36";"3";"0";"36"
"13";"268";"256";"224";"289";"12";"-21";"44";"12";"0";"44"
"14";"283";"252";"221";"285";"31";"-2";"62";"31";"0";"62"
"15";"268";"246";"214";"280";"22";"-12";"54";"22";"0";"54"
"16";"257";"241";"209";"274";"16";"-17";"48";"16";"0";"48"
"17";"243";"235";"204";"268";"8";"-25";"39";"8";"0";"39"
"18";"250";"231";"200";"263";"19";"-13";"50";"19";"0";"50"
"19";"204";"227";"196";"259";"-23";"-55";"8";"0";"0";"8"
"20";"272";"223";"193";"255";"49";"17";"79";"49";"17";"79"
"21";"257";"219";"190";"251";"38";"6";"67";"38";"6";"67"
"22";"231";"215";"186";"247";"16";"-16";"45";"16";"0";"45"
"23";"223";"213";"183";"243";"10";"-20";"40";"10";"0";"40"
"24";"239";"212";"182";"242";"27";"-3";"57";"27";"0";"57"
"25";"227";"211";"182";"241";"16";"-14";"45";"16";"0";"45"
"26";"279";"211";"182";"242";"68";"37";"97";"68";"37";"97"
"27";"236";"209";"180";"240";"27";"-4";"56";"27";"0";"56"
"28";"223";"207";"177";"237";"16";"-14";"46";"16";"0";"46"
"29";"262";"203";"174";"232";"59";"30";"88";"59";"30";"88"
"30";"240";"198";"168";"227";"42";"13";"72";"42";"13";"72"
"31";"211";"194";"167";"224";"17";"-13";"44";"17";"0";"44"
"32";"228";"192";"164";"222";"36";"6";"64";"36";"6";"64"
"33";"242";"192";"164";"220";"50";"22";"78";"50";"22";"78"
"34";"206";"192";"164";"221";"14";"-15";"42";"14";"0";"42"
"35";"220";"195";"167";"224";"25";"-4";"53";"25";"0";"53"
"36";"209";"198";"170";"229";"11";"-20";"39";"11";"0";"39"
"37";"247";"203";"174";"233";"44";"14";"73";"44";"14";"73"
"38";"224";"209";"179";"240";"15";"-16";"45";"15";"0";"45"
"39";"273";"214";"185";"246";"59";"27";"88";"59";"27";"88"
"40";"220";"219";"189";"251";"1";"-31";"31";"1";"0";"31"
"41";"216";"222";"192";"254";"-6";"-38";"24";"0";"0";"24"
"42";"249";"224";"192";"255";"25";"-6";"57";"25";"0";"57"
"43";"266";"224";"194";"255";"42";"11";"72";"42";"11";"72"
"44";"249";"224";"194";"255";"25";"-6";"55";"25";"0";"55"
"45";"269";"224";"194";"255";"45";"14";"75";"45";"14";"75"
"46";"262";"224";"194";"256";"38";"6";"68";"38";"6";"68"
"47";"277";"226";"195";"257";"51";"20";"82";"51";"20";"82"
"48";"293";"228";"197";"261";"65";"32";"96";"65";"32";"96"
"49";"300";"232";"201";"265";"68";"35";"99";"68";"35";"99"
"50";"324";"237";"206";"270";"87";"54";"118";"87";"54";"118"
"51";"293";"243";"212";"276";"50";"17";"81";"50";"17";"81"
"52";"356";"250";"217";"285";"106";"71";"139";"106";"71";"139"
