"WOY";"pop";"Covid_caused";"Covid_attributed";"Covid_related";"AllCause_observed";"AllCause_fitted";"AllCause_PImin";"AllCause_PImax";"AllCause_diff";"AllCause_diff_min";"AllCause_diff_max";"AllCause_excess";"AllCause_excess_max";"AllCause_excess_min";"Circulatory_observed";"Circulatory_fitted";"Circulatory_PImin";"Circulatory_PImax";"Circulatory_diff";"Circulatory_diff_PImin";"Circulatory_diff_PImax";"Circulatory_excess";"Circulatory_excess_PImin";"Circulatory_excess_PImax";"Oncology_observed";"Oncology_fitted";"Oncology_PImin";"Oncology_PImax";"Oncology_diff";"Oncology_diff_PImin";"Oncology_diff_PImax";"Oncology_excess";"Oncology_excess_max";"Oncology_excess_min";"Diabetes_observed";"Diabetes_fitted";"Diabetes_PImin";"Diabetes_PImax";"Diabetes_diff";"Diabetes_diff_PImin";"Diabetes_diff_PImax";"Diabetes_excess";"Diabetes_excess_max";"Diabetes_excess_min";"CLRd_observed";"CLRd_fitted";"CLRd_PImin";"CLRd_PImax";"CLRd_diff";"CLRd_diff_PImin";"CLRd_diff_PImax";"CLRd_excess";"CLRd_excess_max";"CLRd_excess_min"
"1";"1907700";"0";"0";"0";"619";"559";"508";"610";"60";"9";"111";"60";"111";"9";"306";"276";"241";"311";"30";"-5";"65";"30";"0";"65";"115";"114";"93";"137";"1";"-22";"22";"1";"22";"0";"12";"12";"5";"19";"0";"-7";"7";"0";"7";"0";"7";"6";"2";"12";"1";"-5";"5";"1";"5";"0"
"2";"1907375";"0";"0";"0";"560";"555";"507";"604";"5";"-44";"53";"5";"53";"0";"271";"273";"240";"308";"-2";"-37";"31";"0";"0";"31";"129";"114";"93";"136";"15";"-7";"36";"15";"36";"0";"12";"12";"6";"20";"0";"-8";"6";"0";"6";"0";"3";"6";"2";"12";"-3";"-9";"1";"0";"1";"0"
"3";"1907050";"0";"0";"0";"531";"550";"503";"599";"-19";"-68";"28";"0";"28";"0";"264";"270";"238";"305";"-6";"-41";"26";"0";"0";"26";"99";"114";"93";"137";"-15";"-38";"6";"0";"6";"0";"9";"12";"6";"20";"-3";"-11";"3";"0";"3";"0";"5";"6";"2";"12";"-1";"-7";"3";"0";"3";"0"
"4";"1906725";"0";"0";"0";"551";"545";"497";"593";"6";"-42";"54";"6";"54";"0";"262";"267";"234";"302";"-5";"-40";"28";"0";"0";"28";"105";"114";"93";"137";"-9";"-32";"12";"0";"12";"0";"15";"12";"6";"20";"3";"-5";"9";"3";"9";"0";"9";"6";"2";"12";"3";"-3";"7";"3";"7";"0"
"5";"1906400";"0";"0";"0";"547";"542";"493";"591";"5";"-44";"54";"5";"54";"0";"283";"265";"233";"299";"18";"-16";"50";"18";"0";"50";"116";"114";"93";"136";"2";"-20";"23";"2";"23";"0";"11";"12";"5";"19";"-1";"-8";"6";"0";"6";"0";"9";"6";"2";"12";"3";"-3";"7";"3";"7";"0"
"6";"1906150";"0";"0";"0";"522";"540";"493";"589";"-18";"-67";"29";"0";"29";"0";"251";"264";"230";"297";"-13";"-46";"21";"0";"0";"21";"110";"114";"93";"137";"-4";"-27";"17";"0";"17";"0";"10";"12";"6";"20";"-2";"-10";"4";"0";"4";"0";"8";"6";"2";"12";"2";"-4";"6";"2";"6";"0"
"7";"1905900";"0";"0";"0";"549";"542";"495";"591";"7";"-42";"54";"7";"54";"0";"276";"263";"230";"297";"13";"-21";"46";"13";"0";"46";"123";"114";"93";"136";"9";"-13";"30";"9";"30";"0";"24";"12";"6";"20";"12";"4";"18";"12";"18";"4";"4";"6";"2";"12";"-2";"-8";"2";"0";"2";"0"
"8";"1905650";"0";"0";"0";"553";"544";"498";"593";"9";"-40";"55";"9";"55";"0";"260";"263";"231";"297";"-3";"-37";"29";"0";"0";"29";"129";"114";"92";"136";"15";"-7";"37";"15";"37";"0";"15";"12";"6";"20";"3";"-5";"9";"3";"9";"0";"5";"6";"2";"12";"-1";"-7";"3";"0";"3";"0"
"9";"1905400";"0";"0";"0";"476";"545";"498";"593";"-69";"-117";"-22";"0";"0";"0";"206";"263";"231";"296";"-57";"-90";"-25";"0";"0";"0";"95";"113";"92";"135";"-18";"-40";"3";"0";"3";"0";"10";"12";"5";"20";"-2";"-10";"5";"0";"5";"0";"2";"6";"2";"12";"-4";"-10";"0";"0";"0";"0"
"10";"1905100";"0";"0";"0";"534";"543";"496";"591";"-9";"-57";"38";"0";"38";"0";"259";"263";"230";"295";"-4";"-36";"29";"0";"0";"29";"110";"113";"92";"136";"-3";"-26";"18";"0";"18";"0";"11";"12";"6";"20";"-1";"-9";"5";"0";"5";"0";"11";"6";"2";"12";"5";"-1";"9";"5";"9";"0"
